name,year,country,genre,director,rating
Аладдин,2019,"США, Великобритания, Австралия","мюзикл, фэнтези, мелодрама, комедия, приключения, семейный",Гай Ричи,7.3
Ласточки Христовы,2021,Россия,документальный,Юлия Бочарова,–
Титан,2020,"Франция, Бельгия","фантастика, драма, триллер, криминал",Жюлия Дюкурно,5.9
Бэтмен,2022,США,"боевик, драма, криминал, детектив",Мэтт Ривз,7.9
Далласский клуб покупателей,2013,США,"драма, биография",Жан-Марк Валле,7.9
Круэлла,2021,США,"комедия, криминал, драма",Крэйг Гиллеспи,7.5
История рыцаря,2001,США,"боевик, мелодрама, комедия",Брайан Хелгеленд,7.8
Мания,2021,США,"спорт, драма",Лорен Хэдэуэй,6.3
Пара из будущего,2021,Россия,"комедия, фантастика, мелодрама",Алексей Нужный,6.7
Меланхолия,2011,"Дания, Швеция, Франция, Германия","фантастика, драма",Ларс фон Триер,7.0
Своя война,2021,Россия,"драма, триллер, военный",Алексей Чадов,–
Повелитель бури,2008,США,"триллер, драма, военный",Кэтрин Бигелоу,7.3
"Мама, я дома",2021,Россия,драма,Владимир Битоков,6.9
Время первых,2017,Россия,"приключения, триллер, биография, история",Дмитрий Киселёв,7.5
Летчик,2021,Россия,"военный, биография, драма, история",Ренат Давлетьяров,7.4
Гладиатор,2000,"США, Великобритания, Мальта, Марокко","история, боевик, драма, приключения",Ридли Скотт,8.6
Аватар 2,2022,США,"фантастика, боевик, триллер, приключения",Джеймс Кэмерон,90%
Первый встречный,2022,США,"мелодрама, комедия, музыка",Кэт Койро,6.5
Утомленные солнцем 2: Предстояние,2010,Россия,"драма, военный",Никита Михалков,3.8
Бункер,2011,"Колумбия, Испания","триллер, драма, детектив",Андрес Байс,7.2
Гран Торино,2008,"США, Германия",драма,Клинт Иствуд,8.1
Типа крутые легавые,2007,"Великобритания, Франция","боевик, триллер, комедия, детектив",Эдгар Райт,7.6
Гарри Поттер и Дары Смерти: Часть II,2011,"Великобритания, США","фэнтези, детектив, приключения",Дэвид Йейтс,8.1
Пассажиры,2016,"США, Австралия","фантастика, триллер, драма, мелодрама",Мортен Тильдум,7.2
Сноуден,2016,"Великобритания, Франция, Германия, США","триллер, драма, криминал, биография",Оливер Стоун,6.9
Уроки фарси,2020,"Россия, Германия, Беларусь","драма, военный",Вадим Перельман,7.8
Иди и смотри,1985,СССР,"драма, военный, история",Элем Климов,8.1
Дитя погоды,2019,Япония,"аниме, мультфильм, мелодрама, фэнтези",Макото Синкай,7.9
Дилер,1996,Дания,"триллер, криминал",Николас Виндинг Рефн,7.0
Бешеные псы,1991,США,"криминал, драма, триллер",Квентин Тарантино,8.1
Стражи Галактики,2014,США,"фантастика, боевик, приключения, комедия",Джеймс Ганн,7.8
Трансформеры,2007,США,"фантастика, боевик",Майкл Бэй,7.6
Ученик чудовища,2015,Япония,"аниме, мультфильм, фэнтези, приключения",Мамору Хосода,8.1
День сурка,1993,США,"фэнтези, драма, мелодрама, комедия",Харольд Рэмис,8.1
Гарри Поттер и Принц-полукровка,2009,Великобритания,"фэнтези, приключения, семейный",Дэвид Йейтс,7.8
Тебе стоило уйти,2020,"США, Великобритания","триллер, ужасы",Дэвид Кепп,5.5
Эффект бабочки,2003,"США, Канада","фантастика, триллер, драма","Эрик Бресс, Дж. Макки Грубер",8.2
Гаттака,1997,США,"фантастика, драма, мелодрама, детектив",Эндрю Никкол,8.0
Форсаж,2001,"США, Германия","боевик, триллер, криминал",Роб Коэн,7.7
Аннетт,2020,"Франция, Бельгия, Германия, США, Япония, Мексика, Швейцария","мюзикл, драма, мелодрама",Леос Каракс,7.1
Мой сосед Тоторо,1988,Япония,"аниме, мультфильм, фэнтези, приключения, семейный",Хаяо Миядзаки,8.2
Главный герой,2021,США,"фантастика, боевик, комедия, мелодрама",Шон Леви,7.4
Самый пьяный округ в мире,2012,США,"драма, криминал, биография",Джон Хиллкоут,7.5
Бегущий в лабиринте,2014,"США, Великобритания","фантастика, триллер, приключения",Уэс Болл,6.8
Плохие парни,2022,США,"мультфильм, комедия, криминал, приключения, семейный",Пьер Перифел,7.6
Неогранённые алмазы,2019,США,"триллер, драма, криминал","Бенни Сэфди, Джош Сэфди",7.1
Сядь за руль моей машины,2021,Япония,драма,Рюсукэ Хамагути,7.4
Женщина в окне,2021,США,"триллер, криминал, детектив",Джо Райт,5.9
Ральф против интернета,2018,США,"мультфильм, комедия, приключения, семейный, фантастика","Фил Джонстон, Рич Мур",7.2
Я — легенда,2007,США,"фантастика, боевик, триллер, драма, приключения",Френсис Лоуренс,7.9
Капитан Волконогов бежал,2021,"Россия, Эстония, Франция","триллер, драма","Наташа Меркулова, Алексей Чупов",7.7
Одиннадцать друзей Оушена,2001,США,"криминал, триллер",Стивен Содерберг,8.1
Парк Юрского периода,1993,США,"приключения, фантастика, семейный",Стивен Спилберг,7.8
Босс-молокосос 2,2021,США,"мультфильм, комедия, приключения, семейный",Том МакГрат,7.3
Зеркало,1974,СССР,"драма, биография",Андрей Тарковский,8.0
"Не грози южному централу, попивая сок у себя в квартале",1995,США,"комедия, криминал",Пэрис Барклай,7.2
Шпион,2015,"США, Великобритания, Франция, Венгрия, Германия","боевик, комедия",Пол Фиг,7.1
Душа,2020,США,"мультфильм, фэнтези, комедия, приключения, семейный, музыка","Пит Доктер, Кемп Пауэрс",8.4
Перелом,2007,"США, Германия","триллер, драма, криминал",Грегори Хоблит,7.7
Любой ценой,2016,США,"боевик, криминал, триллер, драма",Дэвид Маккензи,7.2
Уйти красиво,2016,США,"комедия, криминал",Зак Брафф,6.7
Серебряные коньки,2020,Россия,"мелодрама, приключения, драма",Михаил Локшин,7.3
1984,1984,Великобритания,"фантастика, драма",Майкл Рэдфорд,6.9
Волк с Уолл-стрит,2013,США,"драма, криминал, биография, комедия",Мартин Скорсезе,7.9
1408,2007,США,"ужасы, триллер",Микаэль Хофстрём,7.7
Аннигиляция,2017,Великобритания,"ужасы, фантастика, триллер, драма",Алекс Гарленд,6.7
Непослушник,2022,Россия,комедия,Владимир Котт,6.3
Костяной томагавк,2015,"США, Великобритания","ужасы, драма, вестерн",С. Крэйг Залер,6.8
28 дней спустя,2002,Великобритания,"ужасы, фантастика, триллер, драма",Дэнни Бойл,7.5
После,2019,США,мелодрама,Дженни Гейдж,5.9
Чёрный Адам,2022,США,"фантастика, фэнтези, боевик",Жауме Кольет-Серра,98%
Зеркала,2008,"США, Румыния, Германия, Франция","ужасы, триллер, детектив",Александр Ажа,7.1
Паразиты,2019,Корея Южная,"драма, триллер, комедия",Пон Джун-хо,8.0
Наёмник,2022,США,"боевик, триллер",Тарик Салех,6.0
Власть,2018,США,"драма, комедия, биография",Адам МакКей,7.1
Чёрный ястреб,2001,"США, Великобритания","военный, боевик, история, драма",Ридли Скотт,7.8
Троя,2004,"США, Мальта, Великобритания","боевик, история, драма, мелодрама",Вольфганг Петерсен,8.0
Смерть на Ниле,2020,"США, Великобритания","детектив, криминал, драма",Кеннет Брана,6.5
Мстители: Эра Альтрона,2015,США,"фантастика, боевик, приключения",Джосс Уидон,7.2
Первый мститель: Противостояние,2016,США,"фантастика, боевик, приключения","Энтони Руссо, Джо Руссо",7.4
Снайпер,2014,США,"боевик, драма, военный, биография",Клинт Иствуд,7.0
Магнолия,1999,США,драма,Пол Томас Андерсон,7.4
Реинкарнация,2018,США,"ужасы, драма, детектив",Ари Астер,6.5
Господин Никто,2009,"Бельгия, Германия, Канада, Франция, Великобритания, Люксембург, США","фантастика, мелодрама, фэнтези, драма",Жако ван Дормель,7.9
Королевская игра,2021,"Германия, Австрия","драма, триллер",Филипп Штёльцль,6.9
Всегда говори «ДА»,2008,"США, Великобритания",комедия,Пейтон Рид,7.8
12 разгневанных мужчин,1956,США,"драма, детектив, криминал",Сидни Люмет,8.5
Этерна: Часть первая,2022,Россия,"фэнтези, драма, мелодрама, приключения",Евгений Невский,6.2
Гарри Поттер и Орден Феникса,2007,"Великобритания, США","фэнтези, приключения, семейный",Дэвид Йейтс,7.8
Убийца,2015,"США, Мексика, Гонконг","боевик, триллер, драма, криминал, детектив",Дени Вильнёв,7.2
Бессмертная гвардия,2020,США,"фэнтези, боевик",Джина Принс-Байтвуд,6.3
Облачный атлас,2012,"США, Германия, Гонконг, Сингапур","фантастика, драма, боевик, детектив, приключения","Лана Вачовски, Том Тыквер, Лилли Вачовски",7.7
Бесконечность,2021,США,"фантастика, боевик",Антуан Фукуа,6.3
Молчание ягнят,1990,США,"триллер, детектив, криминал, драма, ужасы",Джонатан Демме,8.3
Разжимая кулаки,2020,Россия,драма,Кира Коваленко,6.9
Дом странных детей Мисс Перегрин,2016,"США, Великобритания, Бельгия, Канада","фэнтези, триллер, драма, приключения, семейный",Тим Бёртон,6.9
Андрей Рублев,1966,СССР,"драма, биография, история",Андрей Тарковский,8.2
Охота,2012,"Дания, Швеция",драма,Томас Винтерберг,7.9
Затерянный город,2022,США,"комедия, приключения, мелодрама, боевик","Аарон Ни, Адам Ни",6.1
Донбасс. Окраина,2018,Россия,"драма, военный, триллер",Ренат Давлетьяров,7.1
Таинственный лес,2004,США,"триллер, мелодрама",М. Найт Шьямалан,7.1
Тор 2: Царство тьмы,2013,США,"фэнтези, боевик, приключения",Алан Тейлор,7.3
Общество мертвых поэтов,1989,США,"драма, комедия",Питер Уир,8.2
Грань будущего,2014,"США, Канада","фантастика, боевик, приключения",Даг Лайман,7.9
Пузырь,2022,США,комедия,Джадд Апатоу,5.4
Артек. Большое путешествие,2021,Россия,"комедия, семейный","Карен Захаров, Армен Ананикян",84%
Жизнь задом наперед (ТВ,2007,Великобритания,"драма, биография",Дэвид Эттвуд,7.8
Ирландец,2019,США,"криминал, драма, биография",Мартин Скорсезе,7.4
Форсаж: Хоббс и Шоу,2019,"США, Япония","боевик, триллер, приключения",Дэвид Литч,6.3
Доктор Сон,2019,США,"триллер, драма, фэнтези, ужасы",Майк Флэнеган,7.3
Невидимая сторона,2009,США,"драма, спорт, биография",Джон Ли Хэнкок,8.2
Курьер,1986,СССР,"драма, мелодрама, комедия",Карен Шахназаров,8.0
Воин,2011,США,"драма, спорт",Гэвин О’Коннор,8.0
От кутюр,2021,Франция,"комедия, драма",Сильви Оайон,6.5
Догвилль,2003,"Дания, Нидерланды, Швеция, Германия, Великобритания, Франция, Финляндия, Норвегия, Италия","триллер, драма, детектив",Ларс фон Триер,7.9
Семейный бюджет,2021,Россия,комедия,Евгений Абызов,6.2
Семь,1995,США,"триллер, драма, криминал, детектив",Дэвид Финчер,8.3
Марсианин,2015,"Великобритания, США, Венгрия, Иордания","фантастика, приключения",Ридли Скотт,7.7
Холодное сердце,2013,США,"мультфильм, мюзикл, фэнтези, комедия, мелодрама, приключения, семейный","Крис Бак, Дженнифер Ли",7.8
Стражи Галактики. Часть 2,2017,США,"фантастика, боевик, приключения, комедия",Джеймс Ганн,7.6
Время убивать,1996,США,"триллер, драма, криминал",Джоэл Шумахер,7.9
Заводной апельсин,1971,"Великобритания, США","фантастика, криминал",Стэнли Кубрик,7.9
Приключения Шаркбоя и Лавы,2005,США,"фантастика, фэнтези, боевик, комедия, приключения, семейный",Роберт Родригес,4.2
Одержимость,2013,США,"драма, музыка",Дэмьен Шазелл,8.3
Бойфренд из будущего,2013,"Великобритания, США","фантастика, фэнтези, драма, мелодрама, комедия",Ричард Кёртис,7.9
Красотка на всю голову,2018,"США, Китай","мелодрама, комедия","Эбби Кон, Марк Силверштейн",6.6
Апгрейд,2018,"Австралия, США","фантастика, боевик, триллер, детектив, криминал",Ли Уоннелл,7.6
Тор,2011,США,"фантастика, боевик, фэнтези, приключения",Кеннет Брана,7.1
Космический джем: Новое поколение,2021,США,"мультфильм, фантастика, фэнтези, комедия, приключения, семейный, спорт",Малкольм Д. Ли,6.0
Проклятие плачущей: Безвременье,2022,США,ужасы,"Эндрю Мечэм, Мэттью Уэдон",–
Звёздные войны: Эпизод 3 — Месть ситхов,2005,США,"фантастика, боевик, фэнтези, приключения",Джордж Лукас,8.1
Операция «Фортуна»: Искусство побеждать,2022,"Китай, США","боевик, триллер, комедия",Гай Ричи,–
Тихое место,2018,США,"ужасы, фантастика, драма",Джон Красински,6.8
Прекрасная эпоха,2019,"Франция, Бельгия","мелодрама, драма, комедия",Николя Бедос,7.7
Человек-муравей,2015,США,"фантастика, боевик, комедия, приключения",Пейтон Рид,7.1
Чудаки навсегда,2022,США,"документальный, боевик, комедия",Джефф Треймейн,6.9
Терминатор,1984,"Великобритания, США","фантастика, боевик, триллер",Джеймс Кэмерон,8.0
Финник,2022,Россия,"мультфильм, приключения, детский",Денис Чернов,6.6
Люди Икс: Дни минувшего будущего,2014,"США, Великобритания","фантастика, боевик, триллер, приключения",Брайан Сингер,7.7
Посейдон,2006,США,"боевик, триллер, приключения",Вольфганг Петерсен,6.5
Соник 2 в кино,2022,"Япония, США","фантастика, фэнтези, боевик, комедия, приключения, семейный",Джефф Фаулер,7.0
Лакричная пицца,2021,"США, Канада","драма, мелодрама, комедия",Пол Томас Андерсон,7.4
Тихий омут,2021,США,"триллер, драма, криминал",Том Маккарти,6.8
Город грехов,2005,США,"боевик, триллер, криминал, детектив","Фрэнк Миллер, Квентин Тарантино, Роберт Родригес",7.9
Прометей,2012,"США, Великобритания","фантастика, ужасы",Ридли Скотт,7.0
Вечные,2021,США,"фантастика, фэнтези, боевик, приключения",Хлоя Чжао,6.5
Пианист,2002,"Франция, Польша, Великобритания, Германия","драма, военный, биография, музыка",Роман Полански,8.5
Чёрный лебедь,2010,США,"драма, триллер",Даррен Аронофски,7.7
Царство небесное,2005,"США, Испания","боевик, драма, приключения, военный, история",Ридли Скотт,7.6
Зомби по имени Шон,2004,"Великобритания, Франция, США","ужасы, комедия",Эдгар Райт,7.4
Жизнь Дэвида Гейла,2002,"Великобритания, Германия, Испания, США","триллер, драма, криминал",Алан Паркер,8.1
Пираты Карибского моря: Мертвецы не рассказывают сказки,2017,"США, Австралия, Великобритания, Канада","фэнтези, боевик, комедия, приключения","Хоаким Роннинг, Эспен Сандберг",6.6
Солярис,1972,СССР,"фантастика, драма, детектив",Андрей Тарковский,8.0
Большой Лебовски,1998,"США, Великобритания","комедия, криминал","Джоэл Коэн, Итан Коэн",7.8
Один дома,1990,США,"комедия, семейный",Крис Коламбус,8.3
Идентификация,2003,США,"триллер, детектив",Джеймс Мэнголд,7.6
Терминал,2004,США,"драма, мелодрама, комедия",Стивен Спилберг,8.1
Рататуй,2007,США,"мультфильм, приключения, комедия, семейный, фэнтези, драма","Брэд Бёрд, Ян Пинкава",8.0
Обитель зла,2002,"США, Германия","ужасы, боевик, фантастика",Пол У. С. Андерсон,7.5
Поездка на выходные,2022,США,"триллер, драма, криминал, детектив",Ким Фаррант,6.1
Стрелок,2007,США,"боевик, триллер, драма",Антуан Фукуа,7.7
Воспоминания,2021,США,"фантастика, триллер, мелодрама, детектив",Лиза Джой,6.6
Умница Уилл Хантинг,1997,США,"драма, мелодрама",Гас Ван Сент,8.1
Хэллоуин убивает,2021,США,ужасы,Дэвид Гордон Грин,5.2
Солнцестояние,2019,"Швеция, США","ужасы, драма, триллер",Ари Астер,6.5
Люди в чёрном,1997,США,"фантастика, боевик, комедия, приключения",Барри Зонненфельд,8.0
Тайна Коко,2017,"США, Мексика","мультфильм, фэнтези, комедия, приключения, семейный, музыка","Ли Анкрич, Эдриан Молина",8.6
Война миров Z,2013,США,"ужасы, фантастика, боевик, приключения",Марк Форстер,7.0
Холодное сердце 2,2019,США,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный","Крис Бак, Дженнифер Ли",7.2
Дьявол всегда здесь,2020,США,"триллер, драма, криминал",Антонио Кампос,7.1
Семья по-быстрому,2018,США,"драма, комедия, семейный",Шон Андерс,7.5
Ряд 19,2021,Россия,"ужасы, триллер",Александр Бабаев,4.9
Тор: Любовь и гром,2022,США,"фэнтези, боевик, приключения",Тайка Вайтити,96%
Кто там,2014,"США, Чили, Израиль",триллер,Элай Рот,5.6
Адвокат дьявола,1997,"США, Германия","триллер, фэнтези, драма, детектив",Тейлор Хэкфорд,8.2
Заклятие 3: По воле дьявола,2021,США,"ужасы, детектив",Майкл Чавес,6.3
Банды Нью-Йорка,2002,"США, Германия, Великобритания, Нидерланды, Италия","драма, криминал",Мартин Скорсезе,7.7
Утраченные иллюзии,2021,"Франция, Бельгия","драма, мелодрама",Ксавье Джанноли,7.5
Отряд самоубийц: Миссия навылет,2021,США,"боевик, фантастика, комедия, фэнтези",Джеймс Ганн,6.7
Дьявол в деталях,2020,США,"детектив, криминал, триллер, драма",Джон Ли Хэнкок,6.6
Армия воров,2021,"Германия, США","боевик, триллер, криминал",Маттиас Швайгхёфер,6.4
"Гангстер, коп и дьявол",2019,Корея Южная,"триллер, боевик, криминал, детектив",Ли Вон-тхэ,7.2
Это всё он,2021,США,"мелодрама, комедия",Марк Уотерс,6.1
Мальчишник в Вегасе,2009,США,комедия,Тодд Филлипс,7.9
Ничего хорошего в отеле «Эль Рояль»,2018,США,"триллер, драма, криминал, детектив",Дрю Годдард,7.1
Двухсотлетний человек,1999,"США, Германия","фантастика, драма, комедия",Крис Коламбус,8.0
Шоу Трумана,1998,США,"драма, комедия",Питер Уир,8.3
Алита: Боевой ангел,2019,"США, Япония, Канада","фантастика, боевик, приключения",Роберт Родригес,7.2
Нефть,2007,США,драма,Пол Томас Андерсон,7.8
Заложница,2007,"Франция, США, Великобритания","боевик, триллер, криминал",Пьер Морель,7.9
Место под соснами,2012,США,"триллер, драма, криминал",Дерек Сиенфрэнс,7.3
Сёстры,2001,Россия,"драма, криминал",Сергей Бодров мл.,7.6
Железный человек 3,2013,США,"фантастика, боевик, приключения",Шейн Блэк,7.5
Приключения Пильи,2021,Франция,"мультфильм, фэнтези, приключения",Жюльен Фурне,7.4
Батя,2020,Россия,"комедия, мелодрама",Дмитрий Ефимович,7.2
Жажда золота,2021,Австралия,"боевик, триллер",Энтони Хэйес,5.6
Утомленные солнцем 2: Цитадель,2011,Россия,"драма, военный",Никита Михалков,3.5
Пламенное сердце,2022,"Франция, Канада","мультфильм, комедия, приключения, семейный","Теодор Ти, Лоран Зэйтун",6.4
Разрушение,2015,США,"драма, комедия",Жан-Марк Валле,7.2
Револьвер,2005,"Великобритания, Франция","боевик, триллер, драма, криминал, детектив",Гай Ричи,7.4
Однажды в кино,2021,"Индия, Франция, США",драма,Пан Налин,7.2
"Гудбай, Америка",2020,Россия,"мелодрама, комедия",Сарик Андреасян,6.6
Век Адалин,2015,"США, Канада","драма, мелодрама, фэнтези",Ли Толанд Кригер,7.6
Волынь,2016,Польша,"военный, драма, история",Войчех Смажовски,7.0
Война,2002,Россия,"боевик, военный, история, драма",Алексей Балабанов,8.0
Тор: Рагнарёк,2017,"США, Австралия","фантастика, фэнтези, боевик, комедия, приключения",Тайка Вайтити,7.6
Рапунцель: Запутанная история,2010,"США, Германия","мультфильм, мюзикл, фэнтези, мелодрама, комедия, приключения, семейный","Нэйтан Грено, Байрон Ховард",7.9
Убийство в Восточном экспрессе,2017,"США, Мальта, Великобритания","детектив, криминал, драма",Кеннет Брана,6.8
Олдбой,2003,Корея Южная,"триллер, детектив, драма, боевик, криминал",Пак Чхан-ук,8.1
Последний богатырь: Корень зла,2020,Россия,"фэнтези, приключения, комедия, семейный",Дмитрий Дьяченко,6.9
Город героев,2014,"США, Япония","мультфильм, фантастика, комедия, семейный, боевик","Дон Холл, Крис Уильямс",7.9
Последний богатырь,2017,Россия,"комедия, фэнтези, приключения, семейный",Дмитрий Дьяченко,6.9
Похождения императора,2000,США,"мультфильм, фэнтези, комедия, приключения, семейный",Марк Диндал,7.9
Время,2021,"США, Япония","триллер, драма, фантастика",М. Найт Шьямалан,6.4
Страсть под запретом,2021,Латвия,комедия,Андрейс Экис ,5.4
Красотка,1990,США,"мелодрама, комедия",Гэрри Маршалл,8.0
Моя ужасная сестра,2021,Россия,семейный,Александр Галибин,5.3
Доктор Стрэндж: В мультивселенной безумия,2022,США,"ужасы, фантастика, фэнтези, боевик, приключения",Сэм Рэйми,97%
Пираты Карибского моря: На краю света,2007,США,"приключения, боевик, фэнтези",Гор Вербински,8.0
Спенсер,2021,"Великобритания, Германия, США, Чили","биография, драма, мелодрама",Пабло Ларраин,6.2
Исчезнувший,2021,"Великобритания, Франция, Германия","триллер, драма, криминал, детектив",Кристиан Карион,6.0
Реальные упыри,2014,Новая Зеландия,"комедия, ужасы","Джемейн Клемент, Тайка Вайтити",7.4
Звёздные войны: Скайуокер. Восход,2019,США,"фантастика, фэнтези, боевик, приключения",Джей Джей Абрамс,6.0
Отец,2020,"Великобритания, Франция, США",драма,Флориан Зеллер,7.8
500 дней лета,2009,США,"мелодрама, комедия",Марк Уэбб,7.6
Мы,2019,"США, Китай, Япония","ужасы, триллер, детектив, комедия",Джордан Пил,6.3
Роман служанки,2021,"Великобритания, Германия","драма, мелодрама",Ева Хассон,5.7
Техасская резня бензопилой,2022,"США, Болгария",ужасы,Дэвид Блу Гарсиа,5.2
Ведьмы,2020,"США, Мексика, Великобритания","фэнтези, комедия, семейный",Роберт Земекис,5.7
Я иду искать,2019,"США, Канада","триллер, комедия, ужасы","Мэттью Беттинелли, Тайлер Джиллетт",6.9
Белфаст,2021,Великобритания,"драма, биография, история",Кеннет Брана,7.0
Оно,2017,"США, Канада","ужасы, фэнтези, драма, детектив",Андрес Мускетти,7.3
Девять ярдов,2000,США,"комедия, криминал",Джонатан Линн,7.7
Гарри Поттер и Тайная комната,2002,"Великобритания, США","фэнтези, приключения, семейный",Крис Коламбус,8.1
Американский пирог,1999,США,комедия,"Пол Вайц, Крис Вайц",7.2
Остров сокровищ,1988,СССР,"мультфильм, приключения, мюзикл, комедия",Давид Черкасский,8.2
Обливион,2013,США,"фантастика, боевик, триллер, приключения, мелодрама",Джозеф Косински,7.2
Монстры,2010,"Великобритания, Мексика","фантастика, триллер, драма, мелодрама, приключения",Гарет Эдвардс,5.9
Крик,2022,США,"ужасы, детектив","Мэттью Беттинелли, Тайлер Джиллетт",6.2
Сердце из стали,2017,"Китай, Гонконг","фантастика, боевик, триллер",Чжан Лицзя,5.7
Бабки,2021,Россия,"комедия, драма",Никита Владимиров,5.4
Элвин и бурундуки,2007,США,"семейный, комедия, музыка",Тим Хилл,6.2
Молчание,2016,"США, Великобритания, Тайвань, Япония, Мексика, Италия","драма, история",Мартин Скорсезе,7.1
Не время умирать,2021,"Великобритания, США","боевик, триллер, приключения",Кэри Дзёдзи Фукунага,7.0
Мегрэ и таинственная девушка,2022,"Франция, Бельгия","детектив, криминал",Патрис Леконт,6.3
Воспоминания из будущего,2021,Корея Южная,"триллер, детектив, криминал",Со Ю-мин,6.9
Остров,2006,Россия,драма,Павел Лунгин,7.9
Еще одна из рода Болейн,2008,"Великобритания, США","драма, мелодрама, биография, история",Джастин Чадвик,7.7
Большой куш,2000,"Великобритания, США","криминал, комедия, боевик",Гай Ричи,8.5
В метре друг от друга,2019,США,"драма, мелодрама",Джастин Бальдони,7.3
Жуткая семейка,2021,Италия,комедия,Вольфанго Де Биази,6.7
Вальдо,2021,США,"триллер, боевик, детектив",Тим Киркби,6.3
Индиана Джонс: В поисках утраченного ковчега,1981,США,"приключения, боевик, комедия",Стивен Спилберг,8.0
Валериан и город тысячи планет,2017,"Франция, Китай, Германия, ОАЭ, США","фантастика, фэнтези, боевик, приключения",Люк Бессон,6.8
"Я, робот",2004,"США, Германия","фантастика, боевик, триллер, детектив",Алекс Пройас,7.8
Человек-паук: Нет пути домой,2021,США,"фантастика, боевик, приключения, фэнтези",Джон Уоттс,8.1
Притворись моей женой,2011,США,"мелодрама, комедия",Деннис Дуган,7.3
"Лжец, лжец",1997,США,"комедия, фэнтези",Том Шэдьяк,7.7
Стикер,2022,Россия,"мелодрама, детектив, триллер",Дмитрий Баран,–
Остров собак,2018,"США, Германия, Япония, Великобритания","мультфильм, фантастика, фэнтези, драма, комедия, приключения",Уэс Андерсон,8.1
Глаза Тэмми Фэй,2021,США,"драма, мелодрама, биография",Майкл Шоуолтер,6.5
Человек-паук: Возвращение домой,2017,США,"фантастика, боевик, приключения",Джон Уоттс,7.1
Интерстеллар,2014,"Великобритания, Канада, США","фантастика, драма, приключения",Кристофер Нолан,8.6
С меня хватит!,1992,"США, Франция, Великобритания","боевик, триллер, драма, криминал",Джоэл Шумахер,7.6
Девушка с татуировкой дракона,2011,"США, Швеция, Норвегия","триллер, драма, криминал, детектив",Дэвид Финчер,7.7
Атлантида: Затерянный мир,2001,США,"мультфильм, фантастика, фэнтези, боевик, приключения, семейный","Гари Труздейл, Кирк Уайз",7.8
Джуманджи,1995,США,"фэнтези, комедия, приключения, семейный",Джо Джонстон,7.9
Дело Коллини,2019,Германия,"детектив, драма, криминал, триллер",Марко Кройцпайнтнер,7.6
Зеленая книга,2018,"США, Китай","биография, комедия, драма",Питер Фаррелли,8.4
Унесённые призраками,2001,Япония,"аниме, мультфильм, фэнтези, приключения, семейный",Хаяо Миядзаки,8.5
Человек-паук: Через вселенные,2018,США,"мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный","Боб Персичетти, Питер Рэмзи, Родни Ротман",8.1
Игры разума,2001,США,"драма, биография, мелодрама",Рон Ховард,8.5
Криминальное чтиво,1994,США,"криминал, драма",Квентин Тарантино,8.6
Не дыши,2015,"США, Венгрия","триллер, криминал",Федерико Альварес,6.6
День курка,2019,США,"фантастика, боевик",Джо Карнахан,7.1
